algorithm,tier,solving_time_ms_mean,solving_time_ms_std,iterations_mean,iterations_std,time_per_iter_ms_mean,time_per_iter_ms_std,success_rate_pct
jax_ik,easy,1.007086280023941,0.43526755179499677,14.45,7.628073151196179,0.0782402483195105,0.026413035097199125,100.0
CCD,easy,3.269000000000001,6.494747031255335,5.15,12.088320809773373,0.7177096536796538,0.08141246292715074,100.0
FABRIK,easy,2.733,2.008883022975703,7.74,8.326607952822085,0.4123628479348892,0.11949449038450896,100.0
TensorFlow,easy,29.455,11.547513801680429,35.34,12.23700943858425,0.8326084619586739,0.12645524624888238,100.0
ikpy,easy,29.416322489978484,15.498256142707419,34.27,10.207698075472257,0.8373324821251265,0.23546105952788246,100.0
roboticstoolbox,easy,28.791211200032194,0.6568995254117248,6.3,1.9519221295943134,4.9534485885217965,1.3761233077645199,100.0
jax_ik,medium,0.7315752099657402,0.38675807506188525,9.99,7.102809303367224,0.10075376413064509,0.060035808503905067,100.0
CCD,medium,83.04799999999997,117.13643453682548,155.5,221.1557143733799,0.6306198311845934,0.11843606244641405,71.0
FABRIK,medium,85.712,44.619915463837444,391.86,203.72049577791626,0.26239885714285716,0.10751238327689304,22.0
TensorFlow,medium,41.458,66.97776822200035,49.5,80.31556511660737,0.8513653030210471,0.12773637556156484,97.0
ikpy,medium,36.12228272007087,28.09021995679499,36.45,24.493825752625906,0.9734925668329093,0.2148721177169788,100.0
roboticstoolbox,medium,40.11651128002086,9.4508408199041,193.44,161.10936161502224,0.5949536405959475,1.240812965137124,100.0
jax_ik,hard,6.385978620073729,5.723393394852428,130.7,108.86849865778439,0.04952956687680985,0.012691381206509974,100.0
CCD,hard,1177.362,84.2444215126438,500.0,0.0,2.354724,0.16848884302528758,0.0
FABRIK,hard,802.453,96.81506024890962,500.0,0.0,1.604906,0.19363012049781925,0.0
TensorFlow,hard,330.24300000000005,352.70332497865684,175.58,191.79177146061295,1.9514069903753828,0.1450755302364588,75.0
ikpy,hard,25.26405298995087,19.735761809896047,20.78,17.32661536480798,1.2316057864142431,0.12556054730931632,98.0
roboticstoolbox,hard,67.6521741599754,11.407648107491832,710.81,211.37410886861238,0.12103343730711578,0.15899320130936379,100.0
