algorithm,tier,solving_time_ms_mean,solving_time_ms_std,iterations_mean,iterations_std,time_per_iter_ms_mean,time_per_iter_ms_std,success_rate_pct
jax_ik,easy,1.2999930999376375,0.5170165514457472,12.8,5.511805511808268,0.10892498517783121,0.02814458217485276,100.0
CCD,easy,4.191,2.769479915074309,3.57,2.7865929017350197,1.218313187778405,0.1410831551696688,100.0
FABRIK,easy,3.1950000000000007,1.7248985477412866,8.3,5.811196090307055,0.4219476633986928,0.09279511409511876,100.0
TensorFlow,easy,26.355999999999998,12.253883629282598,33.91,15.486184165248712,0.7883846765664082,0.12305029856298244,100.0
ikpy,easy,63.348442409942436,23.006499749334704,36.57,7.359694287129052,1.7146295935708067,0.40909290694621275,100.0
roboticstoolbox,easy,81.96463745003712,2.2151097553814387,6.45,2.4015619917045656,13.998188627280522,3.770092867927091,100.0
jax_ik,medium,1.3208141299583076,0.9677239304993542,11.87,11.176452925682637,0.1296783018799888,0.039526444955250435,100.0
CCD,medium,135.43,234.95919752161225,117.23,203.46684521071242,1.2684011351764557,0.22133182828938938,78.0
FABRIK,medium,151.259,30.57997087964604,489.02,66.82199937146447,0.3113019091175078,0.048720522556625234,5.0
TensorFlow,medium,55.008,86.627121249641,61.29,102.34239541851657,0.9389926776942038,0.09770350029176668,95.0
ikpy,medium,58.608191700013776,22.144837417152186,30.95,9.294487613634223,1.9201530653646912,0.47700641144454725,100.0
roboticstoolbox,medium,104.8841969300338,15.148080103547796,323.19,209.07480455569006,0.7545006617556234,1.2760601395225475,100.0
jax_ik,hard,9.225678939938007,7.8574636677484575,134.79,109.9611108528829,0.07080565231865119,0.015704652705280306,100.0
CCD,hard,2231.449,139.03278497893942,500.0,0.0,4.462898000000001,0.27806556995787884,0.0
FABRIK,hard,1353.2609999999997,162.15890471694732,500.0,0.0,2.706522,0.32431780943389465,0.0
TensorFlow,hard,367.042,389.00032960911483,190.63,202.51477254758478,1.9612604550922765,0.21143645826079102,71.0
ikpy,hard,247.8157828500116,706.4816735557678,91.26,228.50341879280495,2.3523825709550006,0.41015357788731377,99.0
roboticstoolbox,hard,134.37556452993704,10.130514827764578,709.87,108.27665076090966,0.21902645979816643,0.2845652307552035,100.0
